SupplierID,SupplierName,ContactPerson,Email,Phone,City,State,Country,LeadTimeDays,PaymentTerms,Rating,Status
15,Sai Borra Distributors,Balendra Pingle,qushidatta@morar.com,3315869232,Chennai,Tamil Nadu,India,18,Net 45,3.2,Active
16,Elite Gola Supplies,Nisha Kothari,nathaniel16@singhal.com,5433036541,Pune,Maharashtra,India,27,Net 45,4.2,Active
17,Supreme Ratta Manufacturing,Ayaan D’Alia,pranav94@chopra.biz,5698169340,Jaipur,Rajasthan,India,19,Advance,4.4,Active
18,Vertex Yohannan Corporation,Januja Sankar,narayanandipta@dash.com,5648236629,Noida,Uttar Pradesh,India,5,Net 30,3.9,Active
19,Smart Acharya Retail,Bhavini Kade,dnagy@sathe-kala.net,2148951343,Pune,Maharashtra,India,18,Advance,4.7,Active
20,Apex Batra Wholesale,Vaishnavi Bora,osachdeva@hayer.biz,2016328708,Ahmedabad,Gujarat,India,6,Net 30,4.5,Active
21,Apex Deol Traders,Edhitha Savant,ksehgal@soman.com,8734714345,Noida,Uttar Pradesh,India,17,Advance,3.2,Active
22,Sunrise Devi Distributors,Vihaan Rajagopal,tanishbhatt@reddy-narayanan.net,6036690967,Mumbai,Maharashtra,India,9,Net 60,4.9,Active
23,Future Ramakrishnan Industries,Thomas Sura,anjalisarin@balakrishnan-ramachandran.com,2729806990,Chennai,Tamil Nadu,India,6,Net 45,4.9,Active
24,Apex Shenoy Wholesale,Chandresh Lad,nnarang@narain-nazareth.biz,6417080531,Nagpur,Maharashtra,India,8,Net 60,4.5,Active
25,Sunrise Iyengar Enterprises,Michael Khare,urvashicontractor@kamdar.com,9912419049,Ghaziabad,Uttar Pradesh,India,16,Net 60,3.9,Active
26,National Borra Solutions,Harsh Mitra,barmanidika@sangha.net,0671657262,Delhi,Delhi,India,20,Net 60,3.5,Active
27,National Yohannan Traders,Udyati Sarin,ekantika31@seshadri-kohli.info,5075273545,Kolkata,West Bengal,India,4,Advance,4.7,Active
28,Modern Anne Corporation,Frederick Khurana,jsuresh@soni.info,0143634957,Kanpur,Uttar Pradesh,India,8,Net 60,3.3,Inactive
29,Infinity Sandal Wholesale,Indira Setty,damini43@hans.com,3374989413,Kanpur,Uttar Pradesh,India,9,Net 45,4.6,Active
30,Elite Gola Enterprises,Akshay Walla,anushabath@master.com,1094777520,Ghaziabad,Uttar Pradesh,India,15,Net 45,3.9,Active
31,Elite Bhattacharyya Traders,Vyanjana Borah,doshimanthan@modi.com,9993867749,Indore,Madhya Pradesh,India,25,Net 30,4.6,Active
32,United Bhasin Distributors,Sarthak Kakar,finn23@borde.com,7974034471,Surat,Gujarat,India,6,Net 45,3.4,Active
33,National Hora Manufacturing,Ishwar Kar,amairadhar@bhasin.com,7174648877,Hyderabad,Telangana,India,3,Net 60,4.7,Suspended
34,Modern Sankaran Supplies,Zashil Bal,karnikansh@luthra.info,4296717565,Nagpur,Maharashtra,India,17,Net 45,3.4,Active
35,Prime Narayan Supplies,Warhi Mani,dbansal@murty.com,6808760385,Indore,Madhya Pradesh,India,2,Net 45,3.5,Active
36,Green Behl Corporation,Amara Deep,raksha71@khatri.com,8086131712,Nagpur,Maharashtra,India,24,Net 60,4.3,Active
37,United Mahajan Corporation,Vasudha Sodhi,tanmayidhillon@halder-trivedi.com,4658404499,Ahmedabad,Gujarat,India,3,Net 60,4.5,Active
38,Shree Yohannan Traders,Hemani Natarajan,ushah@khare.biz,6057662702,Mumbai,Maharashtra,India,20,Net 45,4.0,Inactive
39,Reliable Chaudhry Traders,Harish Vora,uaurora@rout.com,7459615865,Bengaluru,Karnataka,India,29,Net 15,3.1,Active
40,Modern Biswas Enterprises,Bhavna Karan,sarafguneet@chaudhry.com,0504556238,Hyderabad,Telangana,India,30,Net 60,3.5,Active
41,Supreme Garde Industries,Farhan Raja,widishadhar@shenoy.com,4074821759,Nagpur,Maharashtra,India,23,Net 60,4.1,Active
42,Smart Shan Distributors,Rushil Rajagopalan,pchhabra@parmer-merchant.com,6409097439,Noida,Uttar Pradesh,India,9,Net 30,3.8,Active
43,Sunrise Krishna Manufacturing,Gunbir Baral,ridhi09@deep-chana.com,6232858842,Noida,Uttar Pradesh,India,26,Advance,3.0,Active
44,Infinity Nigam Industries,Upadhriti Borra,upkaarranganathan@pau.com,8175496513,Bengaluru,Karnataka,India,19,Net 15,4.0,Active
45,Sai Narang Industries,Dev Shetty,nilima12@barad.info,1382675869,Kolkata,West Bengal,India,13,Net 30,3.3,Active
46,Sunrise Suri Wholesale,Ati Bali,teerth77@patil.com,0643171390,Delhi,Delhi,India,23,Net 60,3.6,Active
47,Star Dass Corporation,Ekapad Johal,virajnarasimhan@agate.com,8421020539,Hyderabad,Telangana,India,30,Advance,4.5,Active
48,Sunrise Lanka Wholesale,Jonathan Sama,bhattvamakshi@pathak-varghese.org,7839084700,Ahmedabad,Gujarat,India,24,Net 30,3.4,Active
49,Smart Chokshi Retail,Sachi Borah,nagymanbir@date.org,6984789611,Kanpur,Uttar Pradesh,India,10,Advance,3.2,Active
50,Smart Seth Traders,Odika Nori,arastogi@chandran.com,5271111615,Delhi,Delhi,India,12,Net 15,4.3,Active
51,Green Narayan Retail,Nirja Pandya,sbehl@muni.org,2731585149,Nagpur,Maharashtra,India,19,Advance,3.2,Inactive
52,Star Bal Retail,Ayush Gole,dayamai55@golla.org,1201836675,Mumbai,Maharashtra,India,28,Net 30,4.2,Active
53,Star Nair Traders,Charles Dugal,chandranbumb@savant-samra.info,6438156149,Lucknow,Uttar Pradesh,India,13,Advance,4.8,Active
54,Modern Bath Industries,Megha Bhakta,jayaramancharvi@devan.com,1076226838,Ghaziabad,Uttar Pradesh,India,26,Net 60,4.8,Active
55,Supreme Ranganathan Supplies,Rajata Bahl,ubrahmbhatt@sanghvi.com,6052975161,Kolkata,West Bengal,India,29,Net 15,5.0,Active
56,Royal Rattan Traders,Meghana Mukherjee,timothy52@uppal.com,5523124329,Pune,Maharashtra,India,25,Net 30,4.6,Active
57,Modern Tak Corporation,Saumya Naidu,matthew71@sathe-mitter.com,5814770054,Pune,Maharashtra,India,27,Advance,3.8,Active
58,Future Tripathi Distributors,Turvi Barman,uguha@soni.com,1518203778,Ahmedabad,Gujarat,India,28,Net 45,3.7,Active
59,Modern Patla Distributors,Barkha Ram,rnigam@ben.com,8644925192,Delhi,Delhi,India,23,Net 15,3.8,Active
60,National Dayal Corporation,Dayita Puri,joshua81@sampath.com,4235733221,Ghaziabad,Uttar Pradesh,India,22,Net 60,3.8,Suspended
61,Vertex Zacharia Solutions,Gayathri Deep,kdube@gandhi.info,6537947383,Delhi,Delhi,India,5,Net 30,3.4,Suspended
62,Smart Pillai Traders,Triya Manda,hthakkar@edwin-iyengar.org,4075818141,Hyderabad,Telangana,India,21,Net 45,3.7,Active
63,Royal Varghese Wholesale,Rajeshri Chand,shravyapalla@sachdeva.biz,3615305152,Hyderabad,Telangana,India,14,Net 60,3.4,Active
64,Royal Sodhi Traders,Upasna Sen,buchanirudh@kale-doctor.net,1434103697,Ahmedabad,Gujarat,India,13,Net 45,3.1,Active
65,Shree Wason Wholesale,Yutika Khurana,bishakhasanghvi@pandit.org,2185188888,Noida,Uttar Pradesh,India,23,Advance,4.4,Active
66,Sunrise Bassi Enterprises,Kashvi Kulkarni,parikhekansh@khosla-chawla.org,2058527722,Noida,Uttar Pradesh,India,14,Net 30,4.1,Active
67,Om Memon Supplies,Caleb Iyengar,muttidayita@rao.com,4505415667,Lucknow,Uttar Pradesh,India,14,Net 60,4.7,Active
68,United Taneja Enterprises,Jhalak Venkataraman,fitan61@gole-memon.com,1544796275,Noida,Uttar Pradesh,India,16,Net 45,3.9,Active
69,Future Saran Supplies,Dakshesh Borde,gpatla@dutta.org,0213556909,Bengaluru,Karnataka,India,11,Net 60,4.3,Active
70,National Prabhu Distributors,Faraj Devan,mitali54@comar.com,8681447394,Lucknow,Uttar Pradesh,India,9,Net 15,3.3,Active
71,Future Deshmukh Wholesale,Siya Gera,zchahal@nagarajan.net,4225831323,Bengaluru,Karnataka,India,16,Net 45,4.8,Active
72,Om Pillay Manufacturing,Kai Chadha,moremitali@srinivas.biz,2517785289,Indore,Madhya Pradesh,India,9,Net 15,4.3,Active
73,Elite Thakkar Enterprises,Jeet Vasa,dakshagala@naidu.com,8414384249,Kolkata,West Bengal,India,7,Net 60,3.9,Active
74,Elite Ganguly Manufacturing,Onveer Nazareth,balakrishnanfinn@lanka.com,9078447364,Chennai,Tamil Nadu,India,27,Net 45,4.3,Suspended
75,Supreme Dugar Solutions,Ojasvi Sule,vjani@dhawan.com,2588153714,Surat,Gujarat,India,21,Net 60,3.9,Inactive
76,Green Chatterjee Supplies,Bina Rajagopalan,kkothari@munshi-gupta.com,8774701687,Kanpur,Uttar Pradesh,India,16,Net 30,4.5,Active
77,Smart Pandit Retail,Chandresh Manda,ssinghal@anand.com,5650609835,Kanpur,Uttar Pradesh,India,22,Net 15,3.5,Active
78,Sunrise Raju Distributors,Ati Dani,gunbirramesh@nori-pau.com,9868000257,Jaipur,Rajasthan,India,12,Net 30,4.8,Active
79,Star Varma Distributors,Falak Nagar,mayamistry@nayar.net,9470551694,Indore,Madhya Pradesh,India,24,Net 15,4.4,Active
80,Royal Lanka Solutions,Charan Srinivasan,lajitadivan@kibe.com,7562636897,Surat,Gujarat,India,15,Advance,3.4,Active
81,Infinity Johal Traders,Vanya Vora,lmurthy@walia-oommen.net,4973348434,Indore,Madhya Pradesh,India,17,Advance,4.9,Active
82,Om Nadig Enterprises,Ikshita Mahal,jairaj98@rana-pai.com,0415747338,Kolkata,West Bengal,India,17,Net 15,3.5,Active
83,Om Devan Solutions,Wriddhish Kibe,waliupkaar@kaul.biz,7120826773,Indore,Madhya Pradesh,India,25,Net 15,4.7,Inactive
84,Supreme Bhargava Retail,Vincent Warrior,gillomisha@bansal.info,4004991547,Delhi,Delhi,India,14,Net 60,4.1,Active
85,Royal Desai Supplies,Anjali Hans,narayanannicholas@shanker.com,4932966851,Surat,Gujarat,India,7,Advance,3.5,Active
86,Green Dey Solutions,Ekiya Kothari,lalleela@sekhon.com,9904530174,Noida,Uttar Pradesh,India,26,Net 45,3.6,Suspended
87,Royal Mukhopadhyay Corporation,Chakrika Pillai,theodoredeol@dua-sha.org,6878339187,Bengaluru,Karnataka,India,17,Advance,4.5,Active
88,Sai Choudhury Distributors,Yashasvi Jain,niteshnarang@sathe.org,1870728679,Bengaluru,Karnataka,India,26,Advance,4.5,Inactive
89,United Morar Traders,Meghana Kumar,kamdarelijah@sampath.com,1704622656,Chennai,Tamil Nadu,India,9,Net 15,3.9,Active
90,United Buch Manufacturing,Ijaya Dani,mayawadhwa@kapoor.com,7868633752,Jaipur,Rajasthan,India,26,Net 30,3.3,Active
91,Elite Balay Supplies,Amol Khosla,ekalingachaudhuri@bandi.com,6738302843,Lucknow,Uttar Pradesh,India,5,Net 60,3.1,Active
92,Om Nagi Enterprises,Chasmum Dhar,odikamital@bhat-gill.biz,0568566246,Ahmedabad,Gujarat,India,4,Net 60,4.4,Active
93,Elite Khosla Corporation,Charita Dhawan,jbhardwaj@saha-wagle.com,3435175183,Hyderabad,Telangana,India,27,Net 60,4.6,Active
94,Royal Baral Solutions,Raghav Kalla,vjoshi@aurora-kakar.com,7393638546,Bengaluru,Karnataka,India,18,Net 30,3.0,Active
95,Future Morar Industries,Jagvi Varghese,gshukla@singh.com,6093204899,Nagpur,Maharashtra,India,13,Net 45,4.4,Active
96,Apex Hayre Corporation,Victor Raghavan,xalaknazareth@suresh-swaminathan.info,5228728080,Kanpur,Uttar Pradesh,India,16,Net 45,4.7,Active
97,Shree Sachar Distributors,Vihaan Bir,adityakamdar@shah.org,7008860084,Bengaluru,Karnataka,India,10,Net 45,3.5,Active
98,Supreme Thakkar Enterprises,Praneel Chhabra,viswanathanmanthan@handa.net,5461567933,Noida,Uttar Pradesh,India,2,Net 45,4.7,Active
99,United Chander Solutions,Ladli Purohit,obhalla@garg.info,5918033974,Jaipur,Rajasthan,India,12,Net 30,4.8,Active
100,Smart Bali Retail,Divya Babu,maanasrao@mistry.org,9685621850,Delhi,Delhi,India,18,Net 15,3.2,Active
101,Future Borra Retail,Mekhala Narain,mahajanshravya@kari-parekh.net,6296194311,Kolkata,West Bengal,India,24,Net 45,4.3,Active
102,Global Dube Industries,Edhitha Patel,chandabdul@saxena-parsa.com,2126788861,Lucknow,Uttar Pradesh,India,9,Net 45,4.4,Active
103,Infinity Chander Solutions,Lekha Arora,odika61@kibe.biz,2444721264,Kanpur,Uttar Pradesh,India,19,Net 60,3.7,Suspended
104,Vertex Bose Solutions,Zayan Koshy,dhayre@deshmukh.com,5965756924,Ghaziabad,Uttar Pradesh,India,24,Net 45,3.5,Active
105,Elite Srinivas Distributors,Peter Rao,bishakha79@nanda.com,5193982807,Noida,Uttar Pradesh,India,5,Net 60,4.9,Active
106,United Biswas Distributors,Xalak Dewan,wyatt42@sampath.info,9688680589,Kanpur,Uttar Pradesh,India,10,Net 60,5.0,Active
107,Sunrise Pant Industries,Chaitanya Ratta,qushi10@kuruvilla.net,7567982507,Ahmedabad,Gujarat,India,11,Net 15,3.7,Active
108,Vertex Chada Supplies,Lucky Pall,hemal73@subramanian.com,7514010512,Jaipur,Rajasthan,India,3,Advance,4.1,Active
109,Star Dutta Manufacturing,Pooja Shere,nidhigour@sankaran.com,7966033419,Hyderabad,Telangana,India,29,Advance,4.1,Active
110,Green Pau Solutions,Ronith Shankar,lalavrishti@munshi.org,5579249912,Pune,Maharashtra,India,3,Net 30,4.9,Active
111,National Mody Enterprises,Qadim Prakash,yastirama@devi-rajagopal.biz,7828274225,Kanpur,Uttar Pradesh,India,4,Net 60,4.3,Active
112,Star Parmer Wholesale,Vedhika Deshpande,leenatiwari@talwar.biz,7219034043,Lucknow,Uttar Pradesh,India,4,Net 15,3.2,Active
113,Supreme Shankar Wholesale,Yasti Chowdhury,loyaljeevika@barman.biz,3407451713,Kolkata,West Bengal,India,26,Net 60,3.8,Inactive
114,Sunrise Sangha Wholesale,Liam Jhaveri,danielpanchal@mand.com,4948126042,Nagpur,Maharashtra,India,11,Net 60,4.2,Active
115,Elite Nagy Distributors,Maya Suri,amrutasachdeva@seth-borra.com,8457759017,Ahmedabad,Gujarat,India,10,Advance,3.3,Active
116,National Rao Supplies,Pushti Kakar,uloyal@nazareth-de.org,5001701277,Delhi,Delhi,India,15,Net 45,4.4,Active
117,Prime Deo Distributors,Nathan Mahal,patelzashil@prabhu.com,6436110371,Lucknow,Uttar Pradesh,India,24,Net 30,4.4,Active
118,Modern Venkataraman Corporation,Aditya Anand,jai62@bobal-karnik.biz,1155426221,Ahmedabad,Gujarat,India,15,Advance,4.1,Active
119,Smart Gala Supplies,Indali Kala,nishasavant@chadha.com,9656523413,Bengaluru,Karnataka,India,3,Net 15,4.6,Active
120,Infinity Mane Corporation,Charvi Jha,manyamerchant@bhagat.biz,3791805526,Surat,Gujarat,India,5,Net 45,4.4,Active
121,Smart Gera Retail,Elijah Badal,atwaladweta@baral.biz,8666188924,Kanpur,Uttar Pradesh,India,16,Advance,4.2,Inactive
122,Shree Vaidya Wholesale,Nachiket Yadav,mahika91@sarkar-khare.com,1617990421,Jaipur,Rajasthan,India,2,Advance,3.5,Active
123,Infinity Gade Wholesale,Idika Virk,ojas52@luthra.com,4814917785,Delhi,Delhi,India,26,Net 30,4.2,Active
124,Reliable Ganesan Manufacturing,Nakul Kumer,daliavedant@upadhyay.com,0756220863,Surat,Gujarat,India,10,Net 15,5.0,Active
125,Future Nagarajan Industries,Faras Pradhan,thakkarcharles@kapoor.com,1744518705,Kanpur,Uttar Pradesh,India,13,Net 45,3.7,Active
126,Reliable Modi Solutions,Ucchal Pillay,uhayre@korpal.biz,3850506413,Nagpur,Maharashtra,India,24,Net 45,3.6,Inactive
127,Vertex Swamy Traders,Lucky Mammen,bassivincent@sachar.com,8261990623,Surat,Gujarat,India,4,Net 30,3.5,Active
128,Om Ramaswamy Retail,Eesha Sethi,vivaan13@chopra.com,7756185374,Delhi,Delhi,India,23,Net 60,3.9,Active
129,Apex Chana Solutions,Daksha Baria,falakdivan@kothari.biz,4420678831,Kanpur,Uttar Pradesh,India,22,Net 45,4.5,Active
130,Vertex Dara Supplies,David Kapadia,rudrarattan@chad-lad.com,1372151070,Lucknow,Uttar Pradesh,India,16,Net 45,3.2,Suspended
131,Supreme Rana Distributors,Ayushman Raja,wgera@grover.com,2099934768,Pune,Maharashtra,India,11,Net 60,3.0,Active
132,Modern Mammen Industries,Laksh Saini,zaidbahl@parmer-srinivasan.net,5985642059,Surat,Gujarat,India,5,Net 15,4.0,Active
133,Apex Bhardwaj Corporation,Ishita Kaul,harishkota@khosla.com,9652239559,Nagpur,Maharashtra,India,28,Net 45,5.0,Active
134,Vertex Dhar Supplies,Waida More,vrittibarad@bhalla.org,0870593252,Indore,Madhya Pradesh,India,8,Net 60,4.0,Inactive
135,National Divan Corporation,Indrajit Vora,elijah56@chaudhuri.com,2675289539,Nagpur,Maharashtra,India,12,Net 60,3.5,Active
136,Sunrise Menon Wholesale,Peter Agarwal,lbali@nadkarni.info,5135521570,Kanpur,Uttar Pradesh,India,29,Net 15,3.9,Active
137,Shree Bir Retail,Aahana Chokshi,bavalibni@saini-ganesan.biz,6586179327,Indore,Madhya Pradesh,India,16,Net 30,4.7,Suspended
138,Modern Bahri Wholesale,Advika Cheema,oommenonkar@dyal-borde.net,5997062962,Indore,Madhya Pradesh,India,9,Net 45,3.1,Active
139,Om Jha Enterprises,Nimrat Zachariah,baghyawati43@bawa.org,2050614973,Chennai,Tamil Nadu,India,17,Advance,3.3,Suspended
140,Shree Garde Industries,Finn Solanki,morarmitali@suresh-lanka.com,2565270477,Surat,Gujarat,India,5,Net 60,4.8,Active
141,Star Bhatia Enterprises,Gunbir Chada,odika93@bhat.biz,9374160898,Chennai,Tamil Nadu,India,4,Net 45,4.6,Active
142,Supreme Dara Enterprises,Oscar Ganesh,reyanshdate@sampath.biz,2945116868,Bengaluru,Karnataka,India,29,Net 30,4.7,Inactive
143,Om Shanker Solutions,Oni Chowdhury,jdoctor@chaudhry.com,6467997024,Kanpur,Uttar Pradesh,India,29,Net 60,3.1,Active
144,Sunrise Ratti Distributors,Meghana Narula,chandransoman@pradhan-bahri.com,4471324754,Bengaluru,Karnataka,India,15,Advance,4.5,Active
145,Elite Guha Manufacturing,Siddharth Ray,xvarty@varma.com,8628902330,Pune,Maharashtra,India,24,Net 30,4.8,Active
146,Prime Bedi Corporation,Rushil Mahal,ucchal86@dasgupta.com,9727985524,Ghaziabad,Uttar Pradesh,India,13,Net 45,3.3,Active
147,Infinity Raju Supplies,Nicholas Kala,umangjhaveri@rout-varghese.com,7229034944,Pune,Maharashtra,India,7,Advance,4.2,Active
148,Modern Sharaf Manufacturing,Tejas Shukla,mekhala91@vaidya.com,4171545444,Chennai,Tamil Nadu,India,9,Net 45,4.3,Active
149,Global Khosla Manufacturing,Netra Nagarajan,atharvtank@lad-sahota.biz,0993538758,Lucknow,Uttar Pradesh,India,23,Net 60,3.3,Active
150,Sai Golla Wholesale,Gunbir Sinha,aarnagoswami@nayak.com,4655494717,Lucknow,Uttar Pradesh,India,22,Net 45,4.4,Active
151,Sunrise Bobal Distributors,Robert Tella,rajchanchal@bhagat-dora.com,5697252175,Indore,Madhya Pradesh,India,29,Net 45,3.2,Active
152,Sai Agrawal Wholesale,Anusha Kadakia,nathansuri@dayal.biz,6676008350,Lucknow,Uttar Pradesh,India,24,Net 30,3.0,Active
153,Om Badami Corporation,Yuvraj Kara,devika21@thakur-mohan.com,0447898562,Delhi,Delhi,India,20,Advance,4.8,Active
154,Sunrise Guha Distributors,Netra Bahl,udarshdeep@bains.net,1506489090,Ghaziabad,Uttar Pradesh,India,9,Net 15,4.2,Active
155,Star D’Alia Industries,Sachi Rai,krishnanurvi@dua.com,1849926189,Mumbai,Maharashtra,India,11,Net 45,3.1,Active
156,Star Cherian Industries,Rushil Iyengar,saksham56@dyal-baral.net,3753001197,Lucknow,Uttar Pradesh,India,12,Net 45,3.4,Active
157,Vertex Borde Solutions,Aahana Kashyap,qminhas@bedi-chaudhry.com,4556110022,Jaipur,Rajasthan,India,28,Net 15,3.5,Active
158,Future Loyal Corporation,Kashish Oommen,ishaanrattan@shan-magar.biz,6212021697,Noida,Uttar Pradesh,India,27,Advance,3.9,Active
159,Modern Raghavan Enterprises,Ayush De,hsura@sastry-batra.com,5089935889,Ghaziabad,Uttar Pradesh,India,4,Net 45,3.0,Active
160,Green Subramaniam Solutions,Lekha Dixit,aptenaksh@singh.com,5354083866,Jaipur,Rajasthan,India,20,Net 45,4.6,Inactive
161,Elite Sawhney Distributors,Gaurang Tara,hmutti@badami-chauhan.biz,0880199488,Kanpur,Uttar Pradesh,India,2,Net 60,4.8,Active
162,Supreme Patla Distributors,Udant Sha,urvashi57@chatterjee.com,5548851027,Bengaluru,Karnataka,India,22,Net 45,4.8,Active
163,Royal Kumar Industries,Raghav Dara,dkale@nigam.biz,9177982708,Chennai,Tamil Nadu,India,3,Advance,3.6,Active
164,Elite Subramanian Distributors,Oscar Dave,ramekanta@rajagopalan.com,5472269848,Chennai,Tamil Nadu,India,14,Net 45,3.7,Inactive
165,Vertex Iyer Enterprises,Bina Pai,pranavthakur@naidu.net,9968460810,Chennai,Tamil Nadu,India,30,Net 45,4.3,Active
166,Supreme Bhalla Enterprises,Amara Dyal,zashil20@merchant.com,1983863840,Jaipur,Rajasthan,India,3,Net 30,3.4,Active
167,Modern Munshi Solutions,Agastya Krishnamurthy,saanvikar@pillai.com,2122816064,Hyderabad,Telangana,India,23,Net 30,4.1,Suspended
168,Sai Dyal Traders,Abdul Narayanan,cdubey@naidu.com,7985158328,Indore,Madhya Pradesh,India,10,Net 15,4.9,Inactive
169,Green Sagar Industries,George Palla,tanaynarula@patel-memon.com,8015739930,Ahmedabad,Gujarat,India,22,Net 60,4.9,Active
170,Shree Raju Distributors,Barkha Bakshi,yoshita87@bassi-minhas.com,8112880133,Chennai,Tamil Nadu,India,27,Net 60,3.4,Active
171,Vertex Yogi Distributors,Ekbal Dube,sharafgarima@chahal.com,4819346676,Ahmedabad,Gujarat,India,28,Net 15,3.7,Active
172,Supreme Ramachandran Traders,Abeer Bhatnagar,boraishita@cherian.org,4766072832,Jaipur,Rajasthan,India,29,Net 15,5.0,Active
173,Reliable Dhawan Industries,Kashvi Apte,jatinbarman@ramesh.net,4353682223,Delhi,Delhi,India,6,Advance,3.7,Active
174,Infinity Contractor Solutions,Chatura Shenoy,mannanekalinga@chaudhari-hora.org,5523149135,Delhi,Delhi,India,7,Net 30,3.1,Active
175,Apex Mohan Industries,Janya Mutti,aganguly@koshy-kant.biz,5257775478,Bengaluru,Karnataka,India,17,Net 45,4.6,Active
176,Elite Bumb Manufacturing,Logan Yohannan,adyabose@borra.com,9308488725,Kolkata,West Bengal,India,21,Advance,4.5,Inactive
177,Apex Mannan Corporation,Ucchal Thaker,ranganathanjanuja@anne.net,7229927503,Surat,Gujarat,India,22,Advance,3.1,Active
178,Om Lalla Enterprises,Vivaan Basak,zarnapatel@singh-sha.com,5184498926,Hyderabad,Telangana,India,17,Net 45,3.1,Active
179,Supreme Brahmbhatt Supplies,Krisha Kapoor,wpandit@subramaniam-ahuja.net,7231843222,Bengaluru,Karnataka,India,6,Net 30,4.2,Active
180,Shree Karpe Enterprises,Ganga Comar,esrinivas@edwin.biz,3029922809,Lucknow,Uttar Pradesh,India,16,Net 60,4.2,Active
181,Elite Kuruvilla Retail,Zansi Ravi,manderfrederick@sen.info,2369292984,Ahmedabad,Gujarat,India,15,Net 45,4.8,Active
182,Green Biswas Enterprises,Kritika Rajan,ikbalbabu@virk.biz,9127990881,Nagpur,Maharashtra,India,25,Advance,3.6,Active
183,Smart Zacharia Solutions,Raagini Vig,cprabhakar@wagle.info,5991624731,Chennai,Tamil Nadu,India,23,Net 45,3.1,Active
184,National Rege Enterprises,Ranbir Ahluwalia,virkjacob@amble.com,5126944869,Hyderabad,Telangana,India,25,Net 30,4.6,Active
185,Infinity Ranganathan Retail,Odika Subramanian,kamalasule@mohanty-padmanabhan.biz,1372138658,Noida,Uttar Pradesh,India,23,Advance,3.8,Inactive
186,Royal Ramachandran Traders,Gavin Dhillon,fsaran@lall.com,9066984902,Lucknow,Uttar Pradesh,India,21,Net 30,3.7,Active
187,United Jaggi Supplies,Robert Bandi,omkaarbanik@khare-acharya.com,4656693801,Kanpur,Uttar Pradesh,India,9,Advance,3.7,Active
188,Elite Pall Corporation,Aradhana Kara,suhaniraval@agrawal.biz,8184518489,Kolkata,West Bengal,India,27,Net 45,4.7,Suspended
189,Supreme Sule Wholesale,Harinakshi Shanker,ebala@kuruvilla.biz,3565880434,Delhi,Delhi,India,21,Net 30,3.1,Active
190,Sunrise Borra Solutions,Vamakshi Murthy,tejas94@gupta.com,3433339521,Ghaziabad,Uttar Pradesh,India,2,Net 15,4.7,Active
191,Om Ahuja Industries,Vasatika Prabhu,waida94@goswami-vaidya.com,3920867808,Chennai,Tamil Nadu,India,25,Advance,3.2,Active
192,Om Shankar Enterprises,Zarna Sharma,abhiram03@chaudhuri-nanda.com,2843479552,Surat,Gujarat,India,12,Net 15,3.7,Active
193,Infinity Saini Wholesale,Janya Rattan,shravya29@karnik.com,8663227026,Bengaluru,Karnataka,India,30,Advance,3.3,Active
194,Prime Walla Industries,Vidhi Mital,champak61@gade.com,1754558845,Jaipur,Rajasthan,India,16,Net 45,4.0,Active
195,Smart Panchal Distributors,Owen Mane,ekta87@sekhon.org,7225699611,Hyderabad,Telangana,India,13,Net 45,3.2,Active
